imdbid,movielabs,deluxe,bomid,bomtitle,wwrelease,inreg
tt0993842,Hanna,Hanna,hanna,Hanna,4/7/11,0
tt1124035,The Ides of March,The Ides of March,idesofmarch,The Ides of March,10/7/11,1
tt0478304,The Tree of Life,The Tree of Life,treeoflife,The Tree of Life,5/17/11,1
tt0881320,Sanctum,Sanctum,sanctum,Sanctum,2/8/11,0
tt1615065,Savages,Savages,savages12,Savages (2012),7/6/12,1
tt1067583,Water for Elephants,Water for Elephants,waterforelephants,Water for Elephants,4/15/11,0
tt1389137,We Bought a Zoo,We Bought A Zoo,weboughtazoo,We Bought a Zoo,12/22/11,1
tt1915581,Magic Mike,Magic Mike,magicmike,Magic Mike,6/28/12,1
tt1790885,Zero Dark Thirty,Zero Dark Thirty,binladen,Zero Dark Thirty,1/4/13,0
tt1922777,Sinister,Sinister,sinister,Sinister,10/5/12,1
tt1616195,J. Edgar,J. Edgar,jedgar,J. Edgar,11/11/11,1
tt1623288,ParaNorman,ParaNorman,paranorman,ParaNorman,8/3/12,1
tt0377981,Gnomeo & Juliet,Gnomeo & Juliet,gnomeoandjuliet,Gnomeo and Juliet,2/10/11,0
tt1598828,One for the Money,One for the Money,oneforthemoney,One For the Money,1/26/12,1
tt1667353,Mirror Mirror,Mirror Mirror,untitledsnowwhite,Mirror Mirror,3/15/12,1
tt1232200,That's My Boy,That's My Boy,ihateyoudad,That's My Boy,6/14/12,1
tt1778304,Paranormal Activity 3,Paranormal Activity 3,paranormalactivity3,Paranormal Activity 3,10/19/11,1
tt1411704,Hop,Hop,ihop,Hop,3/30/11,0
tt1438176,Fright Night,Fright Night,frightnight2011,Fright Night (2011),8/18/11,1
tt1622547,30 Minutes or Less,30 Minutes or Less,30minutesorless,30 Minutes or Less,8/12/11,1
tt1411238,No Strings Attached,No Strings Attached,friendswithbenefits,No Strings Attached,1/25/11,0
tt1007029,The Iron Lady,The Iron Lady,ironlady,The Iron Lady,12/27/11,1
tt1366365,The Cold Light of Day,The Cold Light of Day,coldlightofday,The Cold Light of Day,4/4/12,1
tt1598822,New Year's Eve,New Year's Eve,newyearseve,New Year's Eve,12/8/11,1
tt1586265,What to Expect When You're Expecting,What To Expect When You're Expecting,whattoexpect,What to Expect When You're Expecting,5/17/12,1
tt1649419,Lo Imposible,The Impossible,impossible,The Impossible,10/11/12,1
tt1772240,Apollo 18,Apollo 18,apollo18,Apollo 18,9/1/11,1
tt1712170,Alex Cross,Alex Cross,alexcross,Alex Cross,10/17/12,1
tt1547234,Premium Rush,Premium Rush,premiumrush,Premium Rush,8/23/12,1
tt1321870,Gangster Squad,Gangster Squad,gangstersquad,Gangster Squad,1/9/13,1
tt1262416,Scream 4,Scream 4 ,scream4,Scream 4,4/13/11,0
tt1212450,Lawless,Lawless,wettestcountry,Lawless,8/29/12,1
tt1764234,Killing Them Softly,Killing Them Softly,coganstrade,Killing Them Softly,9/21/12,1
tt0485985,Red Tails,Red Tails,redtails,Red Tails,1/20/12,1
tt0376136,The Rum Diary,The Rum Diary,rumdiary,The Rum Diary,10/21/11,1
tt1931533,Seven Psychopaths,Seven Psychopaths,sevenpsychopaths,Seven Psychopaths,10/12/12,1
tt1142977,Frankenweenie,Frankenweenie,frankenweenie,Frankenweenie,10/4/12,1
tt1366344,The Sitter,The Sitter,sitter,The Sitter,12/9/11,1
tt1258972,The Man with the Iron Fists,The Man with the Iron Fists,manwiththeironfists,The Man with the Iron Fists,11/2/12,1
tt1204342,The Muppets,The Muppets,themuppets,The Muppets,11/23/11,1
tt1904996,Parker,Parker,parker,Parker,1/23/13,1
tt1195478,The Five-Year Engagement,The Five-Year Engagement,fiveyearengagement,The Five-Year Engagement,4/27/12,1
tt1034389,The Eagle,The Eagle,eagleoftheninth,The Eagle,2/10/11,0
tt1648179,Here Comes the Boom,Here Comes the Boom,herecomestheboom,Here Comes the Boom,10/12/12,1
tt1636826,Project X,Project X,projectx2011,Project X,3/1/12,1
tt1462041,Dream House,Dream House,dreamhouse,Dream House,9/29/11,1
tt1340800,Tinker Tailor Soldier Spy,Tinker Tailor Soldier Spy,tinkertailorsoldierspy,"Tinker, Tailor, Soldier, Spy",9/16/11,1
tt0491152,Something Borrowed,Something Borrowed,somethingborrowed,Something Borrowed,5/9/11,1
tt0477302,Extremely Loud & Incredibly Close,Extremely Loud and Incredibly Close,extremelyloud,Extremely Loud & Incredibly Close,1/20/12,0
tt1067774,Monte Carlo,Monte Carlo,montecarlo,Monte Carlo,6/30/11,1
tt1430607,Arthur Christmas,Arthur Christmas,arthurchristmas,Arthur Christmas,11/11/11,0
tt1336608,Rock of Ages,Rock of Ages,rockofages,Rock of Ages,6/13/12,0
tt0770703,What's Your Number?,What's Your Number?,whatsyournumber,What's Your Number?,9/29/11,1
tt2023587,Mama,Mama,mama,Mama,1/17/13,1
tt1583420,Larry Crowne,Larry Crowne,larrycrowne,Larry Crowne,6/30/11,1
tt1549920,The Last Stand,The Last Stand,laststand,The Last Stand,1/17/13,1
tt0383010,The Three Stooges,The Three Stooges,threestooges,The Three Stooges,4/13/12,1
tt1625346,Young Adult,Young Adult,youngadult,Young Adult,12/16/11,1
tt1591095,Insidious,Insidious,insidious,Insidious,3/31/11,0
tt2109184,Paranormal Activity 4,Paranormal Activity 4,paranormalactivity4,Paranormal Activity 4,10/17/12,1
tt1560985,The Devil Inside,The Devil Inside,devilinside,The Devil Inside,1/6/12,1
tt1758830,This Is 40,This Is 40,apatow,This Is 40,12/20/12,1
tt1981677,Pitch Perfect,Pitch Perfect,pitchperfect,Pitch Perfect,10/4/12,1
tt1621045,Think Like a Man,Think Like a Man,thinklikeaman,Think Like a Man,3/25/12,1
tt1068242,Footloose,Footloose,footloose2010,Footloose (2011),10/6/11,0
tt1092026,Paul,Paul,paul,Paul,2/14/11,0
tt1606378,A Good Day to Die Hard,A Good Day to Die Hard,diehard5,A Good Day to Die Hard,2/7/13,1
tt1540133,The Guard,The Guard,guard,The Guard,8/19/11,1
tt1707386,Les MisÌ©rables,Les Miserables,lesmiserables2012,Les Miserables (2012),12/21/12,0
tt1234719,Red Dawn,Red Dawn,reddawn10,Red Dawn (2012),11/21/12,1
tt1334512,Arthur,Arthur,arthur2011,Arthur (2011),4/8/11,0
tt0431021,The Possession,The Possession,dibbukbox,The Possession,8/30/12,1
tt1077368,Dark Shadows,Dark Shadows,darkshadows,Dark Shadows,5/9/12,1
tt1659337,The Perks of Being a Wallflower,The Perks of Being a Wallflower,perksofbeingawallflower,The Perks of Being a Wallflower,9/20/12,1
tt1152398,Beastly,Beastly,beastly,Beastly,3/3/11,0
tt1235522,Broken City,Broken City,brokencity,Broken City,1/18/13,1
tt1428538,Hansel & Gretel: Witch Hunters,Hansel & Gretel: Witch Hunters,hanselandgretelwitchhunters,Hansel and Gretel: Witch Hunters,1/17/13,1
tt1464174,Big Mommas: Like Father_ Like Son,"Big Mommas: Like Father, Like Son",bigmomma3,"Big Mommas: Like Father, Like Son",2/16/11,0
tt1859650,To Rome with Love,To Rome with Love,nerofiddled,To Rome with Love,4/21/12,0
tt1840417,The Words,The Words,words2012,The Words,9/7/12,1
tt1564349,Dolphin Tale,Dolphin Tale,dolphintale,Dolphin Tale,9/22/11,1
tt1655460,Wanderlust,Wanderlust,wanderlust,Wanderlust,2/24/12,1
tt1412386,The Best Exotic Marigold Hotel,The Best Exotic Marigold Hotel,bestexoticmarigoldhotel,The Best Exotic Marigold Hotel,2/24/12,1
tt0999913,Straw Dogs,Straw Dogs,strawdogs10,Straw Dogs (2011),9/16/11,1
tt1430626,The Pirates! Band of Misfits,The Pirates! Band of Misfits,pirates12,The Pirates! Band of Misfits,3/28/12,0
tt1596346,Soul Surfer,Soul Surfer,soulsurfer,Soul Surfer,4/9/11,0
tt1430615,Big Miracle,Big Miracle,everybodyloveswhales,Big Miracle,2/2/12,1
